calendar_year,gender,dept_name,total_salary,nb_employees
1993,M,"Customer Service",42371011,878
1993,M,Development,153909223,3165
1993,M,Finance,38196852,647
1993,M,"Human Resources",28383873,639
1993,M,Marketing,43031039,712
1993,M,Production,130045982,2669
1993,M,"Quality Management",33145715,713
1993,M,Research,38170320,785
1993,M,Sales,130548463,1848
1993,Unknown,"Customer Service",169105435,3086
1993,Unknown,Development,628190375,11303
1993,Unknown,Finance,151414081,2279
1993,Unknown,"Human Resources",119223653,2325
1993,Unknown,Marketing,179520473,2631
1993,Unknown,Production,538329574,9653
1993,Unknown,"Quality Management",140765008,2640
1993,Unknown,Research,156684217,2800
1993,Unknown,Sales,523841445,6831
1994,F,"Customer Service",33734495,683
1994,F,Development,123980769,2501
1994,F,Finance,30779485,506
1994,F,"Human Resources",23464630,506
1994,F,Marketing,37250524,604
1994,F,Production,109456553,2218
1994,F,"Quality Management",26660328,562
1994,F,Research,28949905,582
1994,F,Sales,111956905,1591
1994,M,"Customer Service",57655588,1104
1994,M,Development,201448426,3830
1994,M,Finance,49459882,786
1994,M,"Human Resources",39232393,817
1994,M,Marketing,55833628,865
1994,M,Production,173180689,3293
1994,M,"Quality Management",44506063,881
1994,M,Research,50509092,958
1994,M,Sales,171671514,2299
1994,Unknown,"Customer Service",185878915,3210
1994,Unknown,Development,690403983,11740
1994,Unknown,Finance,165173154,2373
1994,Unknown,"Human Resources",132384850,2427
1994,Unknown,Marketing,193695704,2711
1994,Unknown,Production,591455187,10041
1994,Unknown,"Quality Management",155030674,2743
1994,Unknown,Research,172253379,2912
1994,Unknown,Sales,565769448,7092
1995,F,"Customer Service",42222838,841
1995,F,Development,150839860,2993
1995,F,Finance,37150653,608
1995,F,"Human Resources",28768726,611
1995,F,Marketing,44408416,704
1995,F,Production,130214972,2590
1995,F,"Quality Management",32687235,678
1995,F,Research,35395335,702
1995,F,Sales,134647131,1881
1995,M,"Customer Service",68187471,1281
1995,M,Development,243316614,4542
1995,M,Finance,59028549,920
1995,M,"Human Resources",48276487,982
1995,M,Marketing,67011480,1025
1995,M,Production,208274566,3891
1995,M,"Quality Management",53102476,1028
1995,M,Research,59727775,1115
1995,M,Sales,205820947,2730
1995,Unknown,"Customer Service",195834856,3307
1995,Unknown,Development,729636761,12129
1995,Unknown,Finance,174096698,2459
1995,Unknown,"Human Resources",141022762,2525
1995,Unknown,Marketing,203669204,2801
1995,Unknown,Production,628182476,10434
1995,Unknown,"Quality Management",164309224,2838
1995,Unknown,Research,184123158,3048
1995,Unknown,Sales,594733899,7335
1996,F,"Customer Service",48843443,952
1996,F,Development,178010426,3468
1996,F,Finance,42138689,678
1996,F,"Human Resources",34091228,713
1996,F,Marketing,51834659,814
1996,F,Production,152634926,2972
1996,F,"Quality Management",39015929,792
1996,F,Research,41616378,806
1996,F,Sales,155525377,2144
1996,M,"Customer Service",80216107,1481
1996,M,Development,286431737,5246
1996,M,Finance,69178107,1057
1996,M,"Human Resources",56797016,1135
1996,M,Marketing,78764057,1185
1996,M,Production,242190108,4447
1996,M,"Quality Management",62718970,1195
1996,M,Research,70576102,1291
1996,M,Sales,239250706,3140
1996,Unknown,"Customer Service",208866142,3450
1996,Unknown,Development,771867970,12564
1996,Unknown,Finance,183917062,2554
1996,Unknown,"Human Resources",149181710,2608
1996,Unknown,Marketing,215504584,2909
1996,Unknown,Production,667383993,10858
1996,Unknown,"Quality Management",173663280,2927
1996,Unknown,Research,195089937,3161
1996,Unknown,Sales,627458604,7613
1997,F,"Customer Service",55736299,1064
1997,F,Development,201825198,3869
1997,F,Finance,47822804,760
1997,F,"Human Resources",39450437,809
1997,F,Marketing,60151779,934
1997,F,Production,174292693,3335
1997,F,"Quality Management",44749626,891
1997,F,Research,47568416,908
1997,F,Sales,176962973,2402
1997,M,"Customer Service",91169327,1656
1997,M,Development,328616912,5910
1997,M,Finance,78734975,1191
1997,M,"Human Resources",65595362,1285
1997,M,Marketing,88505181,1316
1997,M,Production,277792013,5006
1997,M,"Quality Management",72209337,1351
1997,M,Research,81639544,1462
1997,M,Sales,268763104,3489
1997,Unknown,"Customer Service",220896800,3575
1997,Unknown,Development,811076964,12939
1997,Unknown,Finance,193045650,2638
1997,Unknown,"Human Resources",158268030,2714
1997,Unknown,Marketing,227430899,3020
1997,Unknown,Production,702084693,11205
1997,Unknown,"Quality Management",182649235,3022
1997,Unknown,Research,204281993,3237
1997,Unknown,Sales,656928492,7843
1998,F,"Customer Service",62711537,1177
1998,F,Development,224799454,4223
1998,F,Finance,53462160,834
1998,F,"Human Resources",44584114,897
1998,F,Marketing,67483976,1029
1998,F,Production,195670778,3668
1998,F,"Quality Management",50809992,996
1998,F,Research,53787328,1007
1998,F,Sales,198364756,2658
1998,M,"Customer Service",99991273,1854
1998,M,Development,355450006,6490
1998,M,Finance,85308489,1309
1998,M,"Human Resources",70451338,1402
1998,M,Marketing,96978127,1462
1998,M,Production,304114035,5566
1998,M,"Quality Management",78296012,1493
1998,M,Research,87326761,1585
1998,M,Sales,295423991,3880
1998,Unknown,"Customer Service",226343629,3658
1998,Unknown,Development,834386621,13312
1998,Unknown,Finance,198213079,2705
1998,Unknown,"Human Resources",161699738,2767
1998,Unknown,Marketing,232777505,3088
1998,Unknown,Production,721690052,11509
1998,Unknown,"Quality Management",188467859,3111
1998,Unknown,Research,209244659,3316
1998,Unknown,Sales,676931422,8066
1999,F,"Customer Service",69147616,1275
1999,F,Development,247663298,4556
1999,F,Finance,60946892,934
1999,F,"Human Resources",50467496,993
1999,F,Marketing,75120997,1132
1999,F,Production,216509649,3990
1999,F,"Quality Management",56355274,1085
1999,F,Research,60209167,1101
1999,F,Sales,216653576,2870
1999,M,"Customer Service",109630000,1981
1999,M,Development,396109859,7070
1999,M,Finance,92967608,1397
1999,M,"Human Resources",77506347,1502
1999,M,Marketing,107948546,1597
1999,M,Production,337617821,6030
1999,M,"Quality Management",86484929,1605
1999,M,Research,97282725,1726
1999,M,Sales,328930453,4249
1999,Unknown,"Customer Service",237680474,3757
1999,Unknown,Development,874741340,13647
1999,Unknown,Finance,206634651,2768
1999,Unknown,"Human Resources",168938254,2815
1999,Unknown,Marketing,244253736,3186
1999,Unknown,Production,756186261,11781
1999,Unknown,"Quality Management",197385711,3184
1999,Unknown,Research,218707452,3394
1999,Unknown,Sales,706160346,8275
2000,F,"Customer Service",70248105,1249
2000,F,Development,251256458,4463
2000,F,Finance,61249895,912
2000,F,"Human Resources",51112557,966
2000,F,Marketing,75866053,1110
2000,F,Production,220435919,3923
2000,F,"Quality Management",56718087,1053
2000,F,Research,60510610,1070
2000,F,Sales,217766396,2811
2000,M,"Customer Service",117556213,1927
2000,M,Development,425461076,6911
2000,M,Finance,98122200,1361
2000,M,"Human Resources",83198046,1455
2000,M,Marketing,113168170,1545
2000,M,Production,364337477,5914
2000,M,"Quality Management",93232440,1569
2000,M,Research,104216228,1683
2000,M,Sales,346164536,4167
2000,Unknown,"Customer Service",250642195,3724
2000,Unknown,Development,918058697,13429
2000,Unknown,Finance,213735892,2713
2000,Unknown,"Human Resources",178336601,2776
2000,Unknown,Marketing,253777085,3139
2000,Unknown,Production,793655049,11601
2000,Unknown,"Quality Management",207875141,3141
2000,Unknown,Research,229453873,3339
2000,Unknown,Sales,726990006,8120
2001,F,"Customer Service",69874888,1199
2001,F,Development,251165534,4299
2001,F,Finance,60678650,876
2001,F,"Human Resources",51224751,932
2001,F,Marketing,74937444,1065
2001,F,Production,220123710,3769
2001,F,"Quality Management",56953704,1018
2001,F,Research,61370599,1047
2001,F,Sales,215272019,2706
2001,M,"Customer Service",116439321,1842
2001,M,Development,422350144,6633
2001,M,Finance,97116111,1310
2001,M,"Human Resources",83225257,1407
2001,M,Marketing,112669571,1495
2001,M,Production,361682853,5683
2001,M,"Quality Management",92855517,1506
2001,M,Research,104266135,1629
2001,M,Sales,341717537,4012
2001,Unknown,"Customer Service",251557040,3625
2001,Unknown,Development,921413132,13072
2001,Unknown,Finance,213554927,2641
2001,Unknown,"Human Resources",179802095,2712
2001,Unknown,Marketing,253909711,3060
2001,Unknown,Production,796131853,11293
2001,Unknown,"Quality Management",208515384,3055
2001,Unknown,Research,229902428,3247
2001,Unknown,Sales,725672742,7918
2002,F,"Customer Service",41503156,685
2002,F,Development,146733925,2435
2002,F,Finance,34926766,492
2002,F,"Human Resources",29663318,525
2002,F,Marketing,47149545,655
2002,F,Production,128796480,2130
2002,F,"Quality Management",34001680,590
2002,F,Research,36797007,605
2002,F,Sales,128791136,1580
2002,M,"Customer Service",68850317,1042
2002,M,Development,246275608,3742
2002,M,Finance,58769165,773
2002,M,"Human Resources",49835333,811
2002,M,Marketing,66206556,854
2002,M,Production,212637711,3241
2002,M,"Quality Management",53466396,840
2002,M,Research,60592704,911
2002,M,Sales,201405923,2312
2002,Unknown,"Customer Service",144319335,2013
2002,Unknown,Development,543688012,7505
2002,Unknown,Finance,126063002,1520
2002,Unknown,"Human Resources",104678202,1537
2002,Unknown,Marketing,143663765,1695
2002,Unknown,Production,464735091,6428
2002,Unknown,"Quality Management",119378873,1710
2002,Unknown,Research,137948343,1889
2002,Unknown,Sales,417559609,4473
2004,M,"Customer Service",94556,1
